ir
cagar
caguetar
caiar
cainhar
cair
cairelar
calar
calcar
calçar
calcinar
calcular
calejar
calhar
calibrar
calmar
caluniar
camar
cambalear
cambiar
camboar
caminhar
campar
campear
camuflar
canalizar
cancelar
candidatar
canetar
canonizar
cansar
cantacantar
cantar
cantarejar
cantarolar
cantear
capacitar
capar
capear
capinar
capitalizar
capitanear
capitar
capitular
capotar
caprichar
captar
capturar
caracterizar
caraterizar
carbonizar
carcomer
cardar
carecer
cargar
cariar
cariciar
carimbar
carminar
carnear
carpir
carrar
carrear
carregar
cartar
cartear
casar
cascar
cassar
castigar
castrar
catalogar
catar
categorizar
catequizar
catingar
cativar
catucar
caturrar
causar
causticar
cauterizar
cavalgar
cavar
cavoucar
cavucar
cear
ceder
cegar
ceifar
celebrar
censurar
centralizar
centrar
cerar
cercar
cercear
cerrar
certar
certificar
cerzir
cessar
cevar
chacoalhar
chacotear
chafurdar
chagar
chalrar
chamar
chamegar
chamejar
chancelar
chantagear
chapar
chatear
chavear
checar
chefiar
chegar
cheirar
chiar
chicotear
chifrar
chilrear
chingar
chispar
chocalhar
chocar
chocolatar
choramingar
chorar
chorrar
chovar
chover
chuçar
chuchar
chumbar
chupar
chutar
chuviscar
ciar
cicatrizar
ciceronear
ciciar
cientificar
cifrar
cimentar
cindir
cingir
cintar
cintilar
cinzar
cirandar
circular
circuncidar
circundar
circunscrever
cirurgiar
ciscar
cismar
citar
ciumar
civilizar
clamar
clarear
clarificar
classificar
claudicar
clicar
clinicar
clonar
co-produzir
coabitar
coadjuvar
coadunar
coagir
coagular
coalhar
coar
coaxar
cobiçar
cobrar
cobrir
cocar
coçar
cochar
cochichar
cochilar
codificar
coexistir
cofiar
cogitar
coibir
coincidir
coisar
colaborar
colapsar
colar
colecionar
colectar
colegiar
coletar
colgar
colher
colidir
coligar
coligir
colocar
colonizar
colorar
colorir
comandar
combalir
combater
combinar
comboiar
combustar
começar
comediar
comedir
comemorar
comensurar
comentar
comer
comercializar
comerciar
cometer
comichar
cominar
comissionar
comodar
comorar
comover
compactar
compactuar
compadecer
comparar
comparecer
comparticipar
compartilhar
compartir
compassar
compatibilizar
compelir
compenetrar
compensar
competir
compilar
complementar
completar
complexar
complicar
compor
comportar
compostar
comprar
comprazer
compreender
comprimir
comprometer
compromissar
comprovar
compulsar
compungir
computar
comungar
comunicar
comutar
concatenar
conceber
conceder
conceituar
concentrar
concernir
concertar
conchegar
conciliar
concitar
conclamar
concluir
concordar
concorrer
concretizar
concursar
condecorar
condenar
condensar
condescender
condicionar
condir
condizer
condoer
conduzir
conectar
confabular
confeccionar
confecionar
confeitar
conferenciar
conferir
confessar
confiar
confidenciar
configurar
confinar
confirmar
confiscar
conflitar
confluir
conformar
confortar
confranger
confraternizar
confrontar
confundir
congelar
congestionar
congraçar
congratular
congregar
congruir
conhecer
conjecturar
conjeturar
conjugar
conjuminar
conjuntar
conjurar
conluiar
conotar
conquistar
consagrar
conscientizar
conseguir
conselhar
consentir
consertar
conservar
considerar
consignar
consistir
consolar
consolidar
consorciar
conspirar
conspurcar
constar
constatar
consternar
constituir
constranger
constringir
construir
consubstanciar
consultar
consumar
consumir
contabilizar
contactar
contagiar
contaminar
contar
contatar
contemplar
contemporizar
contender
contentar
conter
contestar
contextualizar
continuar
contorcer
contornar
contra-argumentar
contra-arrazoar
contra-assinar
contra-atacar
contrabalancear
contrabandear
contraditar
contradizer
contrafazer
contrair
contrapor
contrapropor
contrariar
contrastar
contratar
contravir
contribuir
contristar
controlar
controverter
contundir
convalescer
convencer
convencionar
conveniar
convergir
conversar
converter
convidar
convir
conviver
convizinhar
convocar
convolar
convulsionar
cooperar
cooptar
coordenar
copiar
copilar
copular
corar
cornar
cornear
coroar
correar
correferir
correger
correlacionar
correlatar
correr
corresponder
corrigir
corroborar
corroer
corromper
cortar
cortejar
coser
costear
costumar
costurar
cotar
cotejar
cotizar
coxear
cozer
cozinhar
cravar
credenciar
creditar
cremar
crepitar
crer
crescer
criar
criminar
crismar
criticar
crivar
crocitar
cronometrar
cruciar
crucificar
cruzar
cucuritar
cuidar
culminar
culpabilizar
culpar
cultivar
cultuar
cumprimentar
cumprimentear
cumprir
cumular
cunhar
curar
curiar
curiosar
cursar
curtir
curvar
cuspir
custar
custear
custodiar
customizar
cutucar
dadivar
danar
dançar
dandar
danificar
daninhar
dar
dardar
datar
datilografar
deambular
debandar
debater
debelar
debicar
debilitar
debitar
deblaterar
debochar
debruçar
debulhar
debutar
decair
decalcar
decantar
decapitar
decepar
decepcionar
decidir
decifrar
declamar
declarar
declinar
decodificar
decolar
decompor
decorar
decorrer
decotar
decrescer
decretar
dedar
dedetizar
dedicar
dedilhar
dedurar
deduzir
defasar
defecar
defender
defenestrar
deferir
definhar
definir
deflagrar
deformar
defraudar
defrontar
defumar
degenerar
deglutir
degolar
degradar
degredar
degringolar
degustar
deitar
deixar
delapidar
delatar
delegar
deleitar
deletar
deliberar
deliciar
delimitar
delinear
delinquir
delir
delirar
delongar
demandar
demarcar
demitir
democratizar
demolir
demonstrar
demorar
demostrar
demover
denegar
denegrir
dengar
denigrir
denominar
denotar
dentar
denunciar
deparar
depauperar
depenar
depender
dependurar
depilar
deplorar
depor
deportar
depositar
depravar
deprecar
depreciar
depredar
depreender
depressar
deprimir
depurar
derivar
derramar
derrapar
derreter
derribar
derrocar
derrotar
derrubar
desabafar
desabar
desabilitar
desabonar
desabotoar
desabrigar
desabrochar
desacatar
desacelerar
desaconselhar
desacordar
desacostumar
desacreditar
desafazer
desafiar
desafinar
desafogar
desagradar
desaguar
desalojar
desamar
desamarrar
desamassar
desamparar
desancar
desandar
desanimar
desapaixonar
desaparafusar
desaparecer
desaparelhar
desapegar
desapertar
desapontar
desaprender
desapropriar
desaprovar
desaproximar
desarmar
desarmonizar
desarraigar
desarrumar
desarticular
desassear
desassistir
desassociar
desassossegar
desatacar
desatar
desatender
desatentar
desatinar
desativar
desautorizar
desavir
desbancar
desbaratar
desbaratinar
desbastar
desbloquear
desbotar
desbravar
descabeçar
descabelar
descadastrar
descair
descalçar
descamar
descanjicar
descansar
descarar
descargar
descarrar
descarregar
descarrilar
descarrilhar
descartar
descasar
descascar
descender
descentralizar
descer
descerrar
desclassificar
descobrir
descolar
descolorar
descolorir
descomplicar
descompor
desconcentrar
desconcertar
desconectar
desconfiar
desconfigurar
descongelar
desconhecer
desconjuntar
desconsiderar
desconstruir
descontar
descontentar
descontinuar
descontrair
descontrolar
desconversar
desconvir
descorar
descordar
descortinar
descosturar
descravar
descredibilizar
descrer
descrever
descriminar
descuidar
desculpar
descumprir
descurar
desdar
desdenhar
desdizer
desdobrar
desejar
desemalar
desemaranhar
desembaçar
desembainhar
desembalar
desembaraçar
desembaralhar
desembarcar
desembocar
desembolsar
desembrulhar
desempatar
desempenar
desempenhar
desempregar
desencadear
desencaixar
desencalhar
desencaminhar
desencantar
desencardir
desencarnar
desencontrar
desencorajar
desencostar
desenfastiar
desenferrujar
desenformar
desenganar
desenhar
desenraizar
desenrolar
desentender
desenterrar
desentortar
desentranhar
desentulhar
desentupir
desenvolver
desequilibrar
deserdar
desertar
desesperar
desestabilizar
desestimular
desestruturar
desfalcar
desfalecer
desfavorecer
desfazer
desfear
desfechar
desferir
desfiar
desfigurar
desfilar
desfocar
desfraldar
desfrutar
desgarrar
desgastar
desgostar
desgraçar
desgrudar
desidratar
designar
desiludir
desimpedir
desincentivar
desinchar
desinfetar
desinflar
desinibir
desinstalar
desintegrar
desinteressar
desintoxicar
desinverter
desistir
deslanchar
desleixar
desligar
deslizar
deslocar
deslumbrar
desmaiar
desmamar
desmanchar
desmantelar
desmarcar
desmascarar
desmatar
desmedir
desmembrar
desmentir
desmerecer
desmistificar
desmobiliar
desmontar
desmoralizar
desmoronar
desmotivar
desnaturar
desnortear
desnudar
desobedecer
desobrigar
desobstruir
desocupar
desolar
desonerar
desonrar
desopilar
desorganizar
desorientar
desovar
despachar
despedaçar
despedir
despegar
despejar
despelar
despencar
despender
despenhar
despentear
desperceber
desperdiçar
despertar
despir
despistar
despojar
despoluir
despontar
despor
desposar
desprazer
despregar
desprender
desprestigiar
desprezar
desproteger
desprover
desqualificar
desquitar
desregular
desrespeitar
dessedentar
desservir
dessumir
destacar
destampar
destapar
desterrar
destilar
destinar
destingir
destituir
destoar
destorcer
destrancar
destratar
destravar
destrinçar
destrinchar
destroçar
destronar
destroncar
destruir
desumanizar
desunir
desvairar
desvaler
desvalorizar
desvanecer
desvariar
desvelar
desvencilhar
desvendar
desver
desvestir
desviar
desvincular
desvirtuar
detalhar
detectar
deter
detergir
deteriorar
determinar
detestar
detonar
detrair
detratar
deturpar
devanear
devassar
devastar
dever
devir
devolver
devorar
devotar
diagnosticar
dialogar
dicar
difamar
diferençar
diferenciar
diferir
dificultar
difundir
digerir
digitalizar
digitar
digladiar
dignar
dignificar
dilacerar
dilapidar
dilatar
diligenciar
diluir
dimensionar
diminuir
dinamizar
diplomar
direcionar
dirigir
dirimir
discar
discernir
disciplinar
discordar
discorrer
discrepar
discriminar
discursar
discutir
disfarçar
disparar
dispensar
dispersar
disponibilizar
dispor
disputar
dissecar
disseminar
dissentir
dissertar
dissimular
dissipar
dissociar
dissolver
dissonar
dissuadir
distanciar
distar
distender
distinguir
distorcer
distrair
distratar
distribuir
disturbar
ditar
divagar
divergir
diversificar
divertir
dividir
divinizar
divisar
divorciar
divulgar
dizer
dizimar
doar
dobar
dobrar
doçar
documentar
doer
doestar
domar
domesticar
domiciliar
dominar
domingar
dopar
dorir
dormecer
dorminhocar
dormir
dormitar
dosar
dotar
dourar
doutrinar
dramatizar
drenar
driblar
drogar
duchar
duelar
duplicar
durar
duvidar
ebulir
eclipsar
eclodir
ecoar
economizar
edificar
editar
educar
efectuar
efervescer
efetivar
efetuar
eficaciar
eguar
eivar
ejacular
ejetar
elaborar
elar
eleger
elencar
eletrizar
eletrocutar
elevar
elidir
eligir
eliminar
elogiar
elongar
elucidar
elucubrar
eluir
emagrecer
emanar
emancipar
emaranhar
embaçar
embainhar
embair
embalar
embalsamar
embaraçar
embaralhar
embarcar
embargar
embasar
embater
embebedar
embeber
embelezar
embevecer
embirrar
embolar
embolorar
embolsar
emborcar
emboscar
embotar
embranquecer
embravecer
embrenhar
embriagar
embromar
embrulhar
embuchar
emburrar
emburrecer
embutir
emendar
emergir
emigrar
emitir
emocionar
emoldurar
emostar
empacar
empacotar
empalar
empalidecer
empanar
empanturrar
empar
emparelhar
empatar
empatizar
empeçar
empecer
empedernir
empedrar
empenar
empenhar
emperrar
empertigar
empestar
empestear
empezar
empilhar
empinar
emplacar
empobrecer
empoderar
empolgar
emporcalhar
empossar
empreender
empregar
emprenhar
empresar
empresariar
emprestar
empunhar
empurrar
emudecer
emular
enaltecer
enamorar
encabeçar
encabular
encadear
encaixar
encaixotar
encalhar
encaminhar
encampar
encanar
encandear
encantar
encapar
encaracolar
encarar
encarcerar
encardir
encarecer
encarnar
encarregar
encasquetar
encenar
encender
encerar
encerrar
encetar
encharcar
encher
encimar
enclausurar
encobrir
encochar
encolerizar
encolher
encomendar
encompridar
encontrar
encontroar
encorajar
encorpar
encostar
encravar
encrencar
encruar
encurralar
encurtar
endereçar
endeusar
endireitar
endividar
endoidar
endoidecer
endossar
endurecer
enegrecer
energizar
enervar
enfadar
enfaixar
enfartar
enfastiar
enfatizar
enfear
enfeitar
enfeitiçar
enfeixar
enfermar
enferrujar
enfezar
enfiar
enfileirar
enfocar
enforcar
enformar
enfraquecer
enfrentar
enfunar
enfurecer
engabelar
engaiolar
engajar
enganar
enganchar
engar
engarrafar
engasgar
engatar
engatilhar
engatinhar
engelhar
engendrar
engenhar
engessar
englobar
engodar
engolfar
engolir
engomar
engordar
engordurar
engraçar
engrandecer
engravidar
engraxar
engrenar
engrossar
enguiçar
engulhar
enjaular
enjeitar
enjoar
enlaçar
enlear
enlevar
enlouquecer
enobrecer
enojar
enovelar
enquadrar
enraivecer
enraizar
enredar
enricar
enrijecer
enriquecer
enrolar
enroscar
enrubescer
enrugar
enrustir
ensaboar
ensacar
ensaiar
ensaibrar
ensandecer
ensebar
ensejar
ensimesmar
ensinar
ensoberbecer
ensolarar
ensopar
ensurdecer
entalar
entalhar
entardecer
entear
entediar
entender
entenebrar
enternecer
enterrar
entesourar
entoar
entocar
entonar
entontecer
entornar
entorpecer
entortar
entranhar
entrar
entravar
entreabrir
entregar
entrelaçar
entremear
entremeter
entreolhar
entrepor
entretecer
entreter
entrevar
entrever
entrevir
entrevistar
entristecer
entrosar
entrouxar
entulhar
entupir
enturmar
entusiasmar
enumerar
enunciar
envaidecer
envasar
envelhecer
envenenar
enveredar
envergar
envergonhar
envernizar
enviar
envidar
enviesar
envolver
enxaguar
enxergar
enxertar
enxotar
enxovalhar
enxugar
equacionar
equalizar
equilibrar
equipar
equiparar
equivaler
equivocar
erar
erguer
eriçar
erigir
ermar
erodir
erradicar
errar
eructar
erupcionar
ervar
esbaforir
esbagaçar
esbanjar
esbarrar
esbater
esboçar
esbofetear
esboroar
esborrachar
esbravejar
esbulhar
escalar
escaldar
escalonar
escalpelar
escamar
escamotear
escancarar
escandalizar
escandir
escanear
escangalhar
escantear
escapar
escapulir
escarnecer
escarrar
escassear
escavar
esclarecer
escoar
escolher
escoltar
esconder
escorar
escorraçar
escorregar
escorrer
escovar
escravizar
escrespar
escrever
escrevinhar
escriturar
escrivar
escrutar
escrutinar
escudar
esculachar
esculhambar
esculpir
escultar
escurar
escurecer
escurir
escusar
escutar
esfacelar
esfalfar
esfaquear
esfarelar
esfolar
esfoliar
esforçar
esfregar
esfriar
esfumar
esfuziar
esganar
esgarçar
esgoelar
esgotar
esgrimir
esgueirar
esguichar
esmaecer
esmagar
esmaltar
esmar
esmerar
esmiuçar
esmoer
esmolar
esmorecer
esmurrar
esnobar
espaçar
espairecer
espalhar
espalmar
espanar
espancar
espanholizar
espantar
espargir
esparramar
espartejar
esparzir
espatifar
especializar
especificar
espectar
especular
espedaçar
espedir
espelhar
esperançar
esperar
esperdiçar
espernear
espertar
espessar
espetar
espezinhar
espiar
espicaçar
espichar
espinafrar
espinhar
espionar
espirar
espiritualizar
espirrar
esplender
espoar
espocar
espoliar
esporar
esporear
esposar
espraiar
espreguiçar
espreitar
espremer
espumar
esputar
esquadrinhar
esquartejar
esquecer
esquematizar
esquentar
esquiar
esquinar
esquivar
estabelecer
estabilizar
estacar
estacionar
estafar
estagiar
estagnar
estaiar
estalar
estampar
estancar
estapear
estaquear
estar
estardalhaçar
estarrecer
estatuir
estear
estender
esterçar
estereotipar
esterilizar
estevar
estiar
esticar
estigmatizar
estilar
estilhaçar
estimar
estimular
estipular
estirar
estivar
estocar
estornar
estorvar
estourar
estraçalhar
estragar
estralar
estrangular
estranhar
estrar
estrategiar
estravar
estrear
estrebuchar
estregar
estreitar
estrelar
estremecer
estrepar
estressar
estriar
estribar
estripar
estrondar
estrondear
estrouxar
estruir
estrumar
estrupir
estruturar
estuar
estuchar
estudar
estufar
estugar
estumar
estuporar
estuprar
esturricar
esvaecer
esvair
esvanecer
esvaziar
esvoaçar
eternar
eternizar
etiquetar
evacuar
evadir
evangelizar
evaporar
everter
evidenciar
eviscerar
evitar
evocar
evolar
evolucionar
evoluir
evolver
exacerbar
exagerar
exalar
exaltar
examinar
exarar
exasperar
exaurir
exaustar
exceder
exceler
excepcionalizar
excetuar
excitar
exclamar
excluir
excogitar
excomungar
excretar
execrar
executar
exemplar
exemplificar
exercer
exercitar
exibir
exigir
exilar
eximir
exir
existir
exonerar
exorar
exorbitar
exorcizar
exortar
expandir
expectar
expectorar
expedir
expelir
expender
experienciar
experimentar
expiar
expirar
explanar
explicar
explicitar
explodir
explorar
exponenciar
expor
exportar
expressar
exprimir
exprobar
expropriar
expugnar
expulsar
expurgar
exsudar
exsurgir
extasiar
extenuar
exteriorizar
exterminar
externar
externizar
extinguir
extirpar
extorquir
extrair
extrapolar
extravasar
extraviar
extremar
exultar
exumar
fabricar
fabular
fac-similar
facear
facilitar
facultar
fadar
fadigar
faiar
faiscar
faladrar
falar
falazar
falecer
falhar
falhocar
falir
falsar
falsear
falsificar
faltar
familiarizar
fanar
fantasiar
farandolar
farar
fardar
farejar
farfalhar
farinar
farrear
fartar
fascinar
fatiar
fatigar
fatorar
faturar
faulhar
favar
favorecer
faxinar
fazer
febricitar
fechar
fecundar
feder
feitar
felicitar
fender
fenecer
feriar
ferir
fermentar
ferrar
ferroar
fertilizar
ferventar
ferver
fervilhar
festar
festejar
fetichizar
fiar
ficar
fichar
fidelizar
figurar
filar
filhar
filiar
filmar
filosofar
filtrar
finalizar
financiar
fincar
findar
fingir
fintar
firmar
fiscalizar
fisgar
fissurar
fitar
fixar
flagelar
flagrar
flamar
flambar
flamejar
flanar
flechar
flertar
fletir
flexionar
flocar
florar
florear
florescer
florir
fluir
flutuar
focalizar
focar
fofocar
foguear
foiçar
folear
folgar
folhar
folhear
foliar
fomentar
foragir
forcar
forçar
forcejar
forjar
formalizar
formar
formatar
formigar
formular
fornecer
fornicar
fornir
forrar
forrozear
fortalecer
fortificar
fossar
fotografar
fracassar
fracionar
fragilizar
fragmentar
fraldar
franquear
franquiar
franzir
fraquejar
fraturar
fraudar
frear
fremir
frequentar
fretar
friccionar
frigir
frisar
fritar
fruir
frustrar
frutar
frutificar
fuçar
fugar
fugir
fulgir
fulgurar
fulminar
fumaçar
fumar
funcionar
fundamentar
fundar
fundear
fundir
fungar
furar
furtar
fusionar
fustigar
futurar
fuxicar
fuzilar
gabar
gabaritar
gaguejar
galantear
galar
galgar
galinhar
galopar
gamar
ganhar
ganir
garantir
garatujar
garfar
gargalhar
garoar
garotar
gastar
gatar
gatinhar
gazear
gear
gelar
gemer
generalizar
genuflectir
gerar
gerenciar
gerir
germinar
gestar
gesticular
gestionar
gingar
girar
gizar
glamourizar
gloriar
glorificar
glosar
golar
golear
golfar
golpear
gomar
googlar
gorar
gorjear
gosmilhar
gostar
gotejar
governar
gozar
gracejar
gradear
graduar
grafar
grafitar
gramar
grampear
granjear
grasnar
grassar
gratificar
gravar
gravidar
gravitar
grifar
gripar
gritar
grudar
grunhir
grupar
guardar
guarnecer
guerrear
guiar
guinchar
guisar
guspir
gustar
habilitar
habitar
habituar
hackear
harmonizar
hastear
haurir
haver
hebetar
herdar
hesitar
hibernar
hidratar
hierarquizar
higienizar
hipnotizar
hipotecar
historiar
homenagear
homiziar
homogeneizar
homogenizar
homologar
honrar
horar
horrorizar
hortar
hospedar
hospitalizar
hostilizar
humanar
humanizar
humildar
humilhar
içar
idealizar
idear
identificar
idiotar
idolatrar
ignorar
igualar
ilhar
ilidir
iludir
iluminar
ilustrar
imaginar
imantar
imbricar
imbuir
imerecer
imergir
imersar
imigrar
imiscuir
imitar
imitir
imobilizar
imolar
imortalizar
impacientar
impactar
impar
impedir
impelir
impender
imperar
imperfeiçoar
impermeabilizar
impetrar
impichar
impingir
implantar
implementar
implicar
implodir
implorar
impor
importar
importunar
impossibilitar
impregnar
imprensar
impressionar
imprimir
improbar
improvisar
impugnar
impulsar
impulsionar
imputar
imunizar
inadimplir
inalar
inativar
inaugurar
incandescer
incapacitar
inçar
incender
incendiar
incensar
incentivar
inchar
incidir
incinerar
incitar
inclinar
incluir
incomodar
incorporar
incorrer
incrementar
incriminar
incubar
inculcar
incumbir
incutir
indagar
indeferir
indenizar
independer
independizar
indexar
indicar
indiciar
indignar
indispor
individualizar
individuar
indultar
industriar
induzir
inebriar
inexistir
infamar
infartar
infeccionar
infectar
inferiorizar
inferir
infernizar
infestar
infetar
infiltrar
infirmar
inflamar
inflar
infligir
influenciar
influir
informar
infringir
infundir
ingerir
inglesar
ingredir
ingressar
inibir
inicializar
iniciar
injetar
injuriar
inobservar
inocentar
inocular
inovar
inquerir
inquietar
inquinar
inquirir
inscrever
inserir
insertar
insinuar
insistir
inspecionar
inspirar
instalar
instar
instaurar
instigar
instituir
instruir
instrumentalizar
instrumentar
insuflar
insultar
insurgir
integralizar
integrar
